"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Metacarpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Metatarsal","Hand phalanx","Foot phalanx","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)"
"Hummingbird_Pueblo_Pueblo_I","Primary hominin interment","Burial",6,100,100,71.4285714285714,95.8333333333333,83.3333333333333,100,100,100,95.8333333333333,100,100,100,100,72.9166666666667,88.3333333333333,100,100,91.6666666666667,100,100,86.9047619047619,80,77.3809523809524,6.54761904761905,80.2631578947368,25.8771929824561
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,88.3720930232558,79.0697674418605,84.3853820598007,87.5968992248062,89.7674418604651,90.6976744186046,0,94.1860465116279,87.3062015503876,90.6976744186046,84.8837209302326,89.5348837209302,86.046511627907,75.5813953488372,96.7441860465116,89.5348837209302,100,79.0697674418605,76.7441860465116,79.0697674418605,72.0930232558139,90.6976744186046,67.358803986711,35.1328903654485,75.0917992656059,49.7552019583843
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,100,94.1176470588235,60.5042016806723,65.4411764705882,74.1176470588235,76.4705882352941,0,75.7352941176471,60.8455882352941,77.2058823529412,94.8529411764706,88.9705882352941,80.1470588235294,35.6617647058824,69.4117647058824,88.2352941176471,97.7941176470588,56.6176470588235,88.9705882352941,76.4705882352941,60.0840336134454,65.8823529411765,37.8676470588235,22.2163865546218,46.1687306501548,33.7074303405573
"Dolni_Vestonice_I_DV_3","Primary hominin interment","Burial",1,100,100,100,100,100,100,0,100,100,100,100,100,100,50,100,100,100,100,100,100,50,40,50,21.4285714285714,63.1578947368421,26.3157894736842
"Dolni_Vestonice_IITriple_Burial","Primary hominin interment","Burial",2,100,100,100,100,100,100,100,100,97.9166666666667,100,100,100,100,12.5,35,100,100,100,100,100,32.1428571428571,35,28.5714285714286,5.35714285714286,30.2631578947368,13.1578947368421
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,100,100,20,40,48,60,40,60,27.5,40,90,80,90,27.5,28,70,80,20,90,70,31.4285714285714,24,15,12.1428571428571,18.4210526315789,15.2631578947368
"Qafzeh_Couche_XVII","Possible Primary hominin interment","Burial",2,100,100,14.2857142857143,0,0,50,50,50,50,50,75,75,75,75,75,75,100,50,100,100,100,100,78.5714285714286,89.2857142857143,77.6315789473684,92.1052631578947
"Regourdou","Possible Primary hominin interment","Burial",1,0,100,100,75,80,100,100,100,25,0,100,100,100,43.75,80,100,50,100,50,100,28.5714285714286,30,82.1428571428571,39.2857142857143,81.5789473684211,36.8421052631579
"La_Chapelle_aux_Saints","Possible Primary hominin interment","Burial",1,100,100,85.7142857142857,75,80,100,0,50,41.6666666666667,50,100,100,100,12.5,40,100,100,100,100,50,14.2857142857143,80,7.14285714285714,7.14285714285714,15.7894736842105,26.3157894736842
"Tabun_Layer_C","Possible Primary hominin interment","Burial",1,100,100,0,66.6666666666667,0,0,100,100,83.3333333333333,50,100,50,100,43.75,50,100,100,0,100,100,92.8571428571429,60,17.8571428571429,17.8571428571429,26.3157894736842,28.9473684210526
"Shanidar_Layer_D_Upper","Possible Primary hominin interment","Burial",3,100,66.6666666666667,23.8095238095238,61.1111111111111,66.6666666666667,66.6666666666667,0,66.6666666666667,58.3333333333333,83.3333333333333,66.6666666666667,50,83.3333333333333,22.9166666666667,36.6666666666667,83.3333333333333,66.6666666666667,66.6666666666667,100,100,59.5238095238095,50,13.0952380952381,3.57142857142857,25.4385964912281,15.7894736842105
"Shanidar_Layer_D_Lower","Possible Primary hominin interment","Burial",4,100,75,42.8571428571429,31.25,60,25,25,0,20.8333333333333,50,75,62.5,50,20.3125,37.5,37.5,50,25,62.5,75,23.2142857142857,42.5,25,23.2142857142857,28.2894736842105,29.6052631578947
"Kebara_Couche_XII","Possible Primary hominin interment","Burial",1,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,90,100,50,0,0,0,0,0,78.5714285714286,0,81.5789473684211,0
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,100,85.7142857142857,8.16326530612245,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,14.2857142857143,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,2.04081632653061,0,3.57142857142857,1.02040816326531,2.63157894736842,0.75187969924812
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,0,0,6.34920634920635,0,0,22.2222222222222,0,33.3333333333333,8.33333333333333,66.6666666666667,66.6666666666667,44.4444444444444,55.5555555555556,0,0,11.1111111111111,44.4444444444444,0,100,33.3333333333333,0,0,1.58730158730159,0,1.16959064327485,0
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,0,100,14.2857142857143,0,0,0,0,25,14.5833333333333,0,25,50,0,6.25,10,0,25,50,0,0,7.14285714285714,15,8.92857142857143,12.5,9.21052631578947,13.1578947368421
