"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)"
"Hummingbird_Pueblo_Pueblo_I","Primary hominin interment","Burial",6,4.989877988729,4.989877988729,3.56419856337786,4.7819664058653,4.15823165727417,4.989877988729,4.989877988729,4.989877988729,4.7819664058653,4.989877988729,4.989877988729,4.989877988729,4.989877988729,3.6384527001149,4.989877988729,4.989877988729,4.57405482300159,4.989877988729,4.989877988729,4.33644158544306,4.00503364884828,1.29124035673251
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,5.05132237819602,4.51960423312276,4.82344317316462,5.00701253277325,5.13108009995701,5.18425191446434,0,5.38364621886682,4.99039634073971,5.18425191446434,4.85192807379355,5.11778714633018,4.91839284192771,4.32020992872028,5.11778714633018,5.71597005953761,4.51960423312276,4.38667469685444,4.51960423312276,4.12081562431781,4.29222476319011,2.84399244700372
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,6.52690897563649,6.14297315354023,3.949054170133,4.27128602082094,4.83759135841293,4.99116568725144,0,4.9431737094894,3.97133615980823,5.03915766501347,6.19096513130226,5.807029309206,5.2311255760616,2.3276109214586,5.75903733144396,6.38293304235039,3.69538228767654,5.807029309206,4.99116568725144,3.92163018284041,3.01339102474239,2.20005329635425
"Dolni_Vestonice_I_DV_3","Primary hominin interment","Burial",1,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,0,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,2.64623955431755,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,5.2924791086351,2.64623955431755,3.34261838440111,1.39275766016713
"Dolni_Vestonice_IITriple_Burial","Primary hominin interment","Burial",2,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.19181734370977,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,0.662785192814013,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,5.30228154251211,1.70430478152175,1.60463783523393,0.697668624014751
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,8.20942046429519,8.20942046429519,1.64188409285904,3.28376818571808,3.94052182286169,4.92565227857712,3.28376818571808,4.92565227857712,2.25759062768118,3.28376818571808,7.38847841786567,6.56753637143615,7.38847841786567,2.25759062768118,5.74659432500664,6.56753637143615,1.64188409285904,7.38847841786567,5.74659432500664,2.58010357449277,1.51226166447543,1.25301680770821
"Qafzeh_Couche_XVII","Possible Primary hominin interment","Burial",2,6.85390363308426,6.85390363308426,0.979129090440608,0,0,3.42695181654213,3.42695181654213,3.42695181654213,3.42695181654213,3.42695181654213,5.14042772481319,5.14042772481319,5.14042772481319,5.14042772481319,5.14042772481319,6.85390363308426,3.42695181654213,6.85390363308426,6.85390363308426,6.85390363308426,5.32079360989436,6.31280597784076
"Regourdou","Possible Primary hominin interment","Burial",1,0,6.36641595912091,6.36641595912091,4.77481196934068,5.09313276729673,6.36641595912091,6.36641595912091,6.36641595912091,1.59160398978023,0,6.36641595912091,6.36641595912091,6.36641595912091,2.7853069821154,6.36641595912091,3.18320797956045,6.36641595912091,3.18320797956045,6.36641595912091,1.81897598832026,5.193655124546,2.34552166914981
"La_Chapelle_aux_Saints","Possible Primary hominin interment","Burial",1,6.66101843466067,6.66101843466067,5.70944437256629,4.9957638259955,5.32881474772853,6.66101843466067,0,3.33050921733033,2.77542434777528,3.33050921733033,6.66101843466067,6.66101843466067,6.66101843466067,0.832627304332583,6.66101843466067,6.66101843466067,6.66101843466067,6.66101843466067,3.33050921733033,0.951574062094381,1.05173975284116,1.7528995880686
"Tabun_Layer_C","Possible Primary hominin interment","Burial",1,6.9354365609621,6.9354365609621,0,4.62362437397473,0,0,6.9354365609621,6.9354365609621,5.77953046746841,3.46771828048105,6.9354365609621,3.46771828048105,6.9354365609621,3.03425349542092,6.9354365609621,6.9354365609621,0,6.9354365609621,6.9354365609621,6.44004823517909,1.82511488446371,2.00762637291008
"Shanidar_Layer_D_Upper","Possible Primary hominin interment","Burial",3,7.49856113136185,4.99904075424124,1.7853716979433,4.58245402472113,4.99904075424124,4.99904075424124,0,4.99904075424124,4.37416065996108,6.24880094280155,4.99904075424124,3.74928056568093,6.24880094280155,1.71842025927042,6.24880094280155,4.99904075424124,4.99904075424124,7.49856113136185,7.49856113136185,4.46342924485825,1.90752870885521,1.18398333653082
"Shanidar_Layer_D_Lower","Possible Primary hominin interment","Burial",4,10.3213873729531,7.74104052971481,4.42345173126561,3.22543355404784,6.19283242377185,2.58034684323827,2.58034684323827,0,2.15028903603189,5.16069368647654,7.74104052971481,6.45086710809568,5.16069368647654,2.09653181013109,3.87052026485741,5.16069368647654,2.58034684323827,6.45086710809568,7.74104052971481,2.39603635443554,2.91986616471699,3.05567389330848
"Kebara_Couche_XII","Possible Primary hominin interment","Burial",1,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,6.15260068811981,5.76806314511233,6.15260068811981,3.07630034405991,0,0,0,0,5.01922687715038,0
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,30.4995904995905,26.1425061425061,2.48976248976249,0,0,0,0,6.53562653562654,0,4.35708435708436,6.53562653562654,4.35708435708436,0,0,0,6.53562653562654,0,4.35708435708436,6.53562653562654,0.622440622440622,0.802620802620802,0.229320229320229
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,0,0,1.28622805161836,0,0,4.50179818066427,0,6.7526972709964,1.6881743177491,13.5053945419928,13.5053945419928,9.00359636132854,11.2544954516607,0,2.25089909033213,9.00359636132854,0,20.2580918129892,6.7526972709964,0,0.236936746350751,0
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,0,29.443778249239,4.20625403560557,0,0,0,0,7.36094456230975,4.29388432801402,0,7.36094456230975,14.7218891246195,0,1.84023614057744,0,7.36094456230975,14.7218891246195,0,0,2.10312701780279,2.71192694400886,3.87418134858408
"El_Mirador_MIR4A","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,33.0302798260736,26.4242238608589,0.943722280744961,3.30302798260736,2.64242238608589,0,0,0,1.92676632318763,3.30302798260736,3.30302798260736,0,6.60605596521473,0.412878497825921,0,3.30302798260736,0,6.60605596521473,6.60605596521473,1.41558342111744,0.173843578031967,0
"Gough's_Cave","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",3,7.76332558297905,11.6449883744686,5.43432790808534,0.970415697872382,0,0,0,5.82249418723429,5.4990222879435,7.76332558297905,9.70415697872382,7.76332558297905,11.6449883744686,0,3.88166279148953,9.70415697872382,0,5.82249418723429,5.82249418723429,0.554523255927075,0.204298041657344,0
"5MT_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",10,7.22653442169047,14.4530688433809,5.41990081626785,0.752764002259424,1.08398016325357,1.80663360542262,1.80663360542262,10.8398016325357,2.55939760768204,2.70995040813393,5.41990081626785,5.41990081626785,4.51658401355654,2.03246280610044,5.41990081626785,4.51658401355654,2.70995040813393,5.41990081626785,7.22653442169047,3.09708618072449,2.4960069548602,3.06652283025681
"5MT_10010_Feature_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,9.11785730353367,6.83839297765025,3.90765313008586,3.98906257029598,5.01482151694352,2.27946432588342,0,4.55892865176683,5.79363849495369,10.2575894664754,6.83839297765025,6.83839297765025,6.83839297765025,1.28219868330942,4.55892865176683,3.41919648882513,1.13973216294171,4.55892865176683,4.55892865176683,1.79100768462269,4.67890045839228,1.73959119606892
"El_Miron","Possible Primary hominin interment","Burial",1,8.92123488672379,8.92123488672379,5.09784850669931,5.94748992448253,3.56849395468952,0,0,4.4606174433619,5.20405368392221,8.92123488672379,0,0,0,3.34546308252142,8.92123488672379,0,8.92123488672379,4.4606174433619,8.92123488672379,3.82338638002448,3.99107876511328,6.57354149548069
"La_Tolita_Cama_de_Huesos","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",11,6.78281361393423,10.1742204209014,0.322991124473059,2.07252638203546,2.93921923270483,3.39140680696712,3.39140680696712,3.95664127479497,1.50729191420761,3.39140680696712,8.47851701741779,3.39140680696712,6.78281361393423,0.353271542392408,7.34804808176209,10.7394548887292,1.69570340348356,10.1742204209014,10.1742204209014,1.53420784124703,0.654482015379619,0.743729562931385
"Crow_Creek","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",476,6.98922682330407,7.79664652852331,4.75079987267393,6.58551697069444,7.55946699011516,8.75545742847116,1.11020209467646,2.48533878012798,2.63357599163308,5.71501760100495,4.95806162736191,2.95212829720785,3.16659915640672,0.146660219893339,12.0103681151362,8.90684862319977,0.479405449973925,6.37104611149558,5.37438741286558,0.987647317991395,0.0630796644702533,0.202518922772918
"Krapina","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",43,18.7191624230408,11.2314974538245,2.94158266647783,0.935958121152038,3.93102410883856,0,0,4.67979060576019,2.4568900680241,6.08372778748824,6.08372778748824,4.21181154518417,3.27585342403213,0.0584973825720024,5.61574872691223,6.55170684806426,7.01968590864028,6.08372778748824,6.55170684806426,1.20337472719548,1.28078479736595,1.08374098238657
"Liang_Bua_Layer_R","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",2,7.88714854376849,7.88714854376849,1.12673550625264,0.657262378647374,1.5774297087537,0,7.88714854376849,3.94357427188424,0.328631189323687,0,3.94357427188424,0,7.88714854376849,2.46473391992765,7.88714854376849,7.88714854376849,7.88714854376849,11.8307228156527,7.88714854376849,5.6336775312632,1.24533924375292,4.15113081250973
"Liang_Bua_Layer_OQ","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",6,0,27.8279063685105,3.9754151955015,0,0,0,0,0,0,13.9139531842553,0,13.9139531842553,13.9139531842553,5.21773244409572,0,0,13.9139531842553,0,0,0,7.32313325487119,0
"Dmanisi_Layer_B1y","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",4,36.1392584206057,27.1044438154543,0,0,0,0,0,9.03481460515143,0.752901217095952,4.51740730257572,4.51740730257572,0,0,0,0,4.51740730257572,4.51740730257572,4.51740730257572,0,1.29068780073592,0.237758279082932,2.85309934899519
"Malapa","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",1,7.88820106016236,7.88820106016236,1.12688586573748,1.97205026504059,0,0,7.88820106016236,7.88820106016236,0.986025132520295,7.88820106016236,7.88820106016236,3.94410053008118,3.94410053008118,3.45108796382103,7.88820106016236,3.94410053008118,3.94410053008118,7.88820106016236,7.88820106016236,1.12688586573748,4.15168476850651,0.415168476850651
"AL_333","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",13,15.4172361995933,23.12585429939,2.20246231422762,0.642384841649721,0.770861809979666,0,0,3.85430904989833,0.642384841649721,0,7.70861809979666,1.92715452494916,7.70861809979666,0.963577262474582,0,9.63577262474582,0,7.70861809979666,7.70861809979666,2.47777010350607,4.46288416304017,3.04287556570921
