Ref,Type,AccumulationType,Cranium,Mandible,Cervical,Thoracic,Lumbar,Sacrum,Sternum,Clavicle,Rib,Scapula,Humerus,Radius,Ulna,Carpal,Metacarpal,Innominate,Femur,Patella,Tibia,Fibula,Tarsal,Metatarsal,Hand phalanx,Foot phalanx,Hand (metacarpals + manual phalanges),Foot (metatarsals + pedal phalanges),Cluster_Pnas83
Pottery_Mound_Pueblo_IV,Primary hominin interment,Burial,88.37209302325581,79.06976744186046,84.38538205980066,87.5968992248062,89.76744186046513,90.69767441860465,0,94.18604651162791,87.3062015503876,90.69767441860465,84.88372093023256,89.53488372093024,86.04651162790698,75.5813953488372,96.74418604651163,89.53488372093024,100,79.06976744186046,76.74418604651163,79.06976744186046,72.09302325581395,90.69767441860465,67.35880398671097,35.1328903654485,75.09179926560587,49.75520195838433,A
Kuaua_Pueblo_Pueblo_IV,Primary hominin interment,Burial,100,94.11764705882352,60.504201680672274,65.44117647058823,74.11764705882354,76.47058823529412,0,75.73529411764706,60.845588235294116,77.20588235294117,94.85294117647058,88.97058823529412,80.14705882352942,35.661764705882355,69.41176470588236,88.23529411764706,97.79411764705883,56.61764705882353,88.97058823529412,76.47058823529412,60.08403361344538,65.88235294117646,37.86764705882353,22.21638655462185,46.1687306501548,33.70743034055727,A
Skhul_Layer_B,Possible Primary hominin interment,Burial,100,100,20,40,48,60,40,60,27.500000000000004,40,90,80,90,27.500000000000004,27.999999999999996,70,80,20,90,70,31.428571428571427,24,15,12.14285714285714,18.421052631578945,15.263157894736842,B
Fontbregoua_H1,Hominin cannibalism/ secondary interment,Cannibalism,100,85.71428571428571,8.16326530612245,0,0,0,0,21.428571428571427,0,14.285714285714285,21.428571428571427,14.285714285714285,0,0,0,0,21.428571428571427,0,14.285714285714285,21.428571428571427,2.0408163265306123,0,3.571428571428571,1.0204081632653061,2.631578947368421,0.7518796992481203,C
Fontbregoua_H3,Hominin cannibalism/ secondary interment,Cannibalism,0,0,6.349206349206349,0,0,22.22222222222222,0,33.33333333333333,8.333333333333332,66.66666666666666,66.66666666666666,44.44444444444444,55.55555555555556,0,0,11.11111111111111,44.44444444444444,0,100,33.33333333333333,0,0,1.5873015873015872,0,1.1695906432748537,0,C
Gran_Dolina_TD6,Hominin cannibalism/ secondary interment,Cannibalism,0,100,14.285714285714285,0,0,0,0,25,14.583333333333334,0,25,50,0,6.25,10,0,25,50,0,0,7.142857142857142,15,8.928571428571429,12.5,9.210526315789473,13.157894736842104,C
El_Mirador_MIR4A,Hominin cannibalism/ secondary interment,Cannibalism,100,80,2.857142857142857,10,8,0,0,0,5.833333333333333,10,10,0,20,1.25,2,0,10,0,20,20,4.285714285714286,0,0,0,0.5263157894736842,0,C
Krapina,Hominin cannibalism/ secondary interment,Cannibalism,100,60,15.714285714285714,5,21.000000000000004,0,0,25,13.125,32.5,32.5,22.5,17.5,0.3125,2,30,35,37.5,32.5,35,6.42857142857143,6,8.571428571428571,5.714285714285714,6.842105263157896,5.7894736842105265,C
AL_333,Nonanthropogenic hominin accumulation,Non-human/ non-carnivore intervention,66.66666666666666,100,9.523809523809524,2.7777777777777777,3.3333333333333335,0,0,16.666666666666664,2.7777777777777777,0,33.33333333333333,8.333333333333332,33.33333333333333,4.166666666666666,31.666666666666664,0,41.66666666666667,0,33.33333333333333,33.33333333333333,10.714285714285715,11.666666666666666,14.880952380952381,13.69047619047619,19.29824561403509,13.157894736842104,C
Unscavenged_human_corpses_WA,Unscavenged human corpses,Non-human/ non-carnivore intervention,84.21052631578947,89.47368421052632,89.47368421052632,89.03508771929826,84.21052631578947,89.47368421052632,73.68421052631578,28.947368421052634,88.1578947368421,84.21052631578947,84.21052631578947,100,81.57894736842105,63.1578947368421,-,89.47368421052632,89.47368421052632,76.31578947368422,86.8421052631579,86.8421052631579,43.233082706766915,-,-,-,64.68144044321329,56.232686980609415,A
Scavenged_human_corpses_WA,Scavenged human corpses,Carnivore intervention,100,88.63636363636364,73.7012987012987,79.16666666666667,81.81818181818183,77.27272727272727,61.36363636363637,61.36363636363637,71.30681818181817,62.5,54.54545454545454,50,44.31818181818182,26.704545454545453,-,78.4090909090909,73.86363636363636,38.63636363636363,64.77272727272727,57.95454545454546,27.759740259740255,-,-,-,26.674641148325357,35.58612440191387,D
Mapungubwe_leopard_kills,Leopard refuse,Carnivore intervention,100,85.71428571428571,26.53061224489796,38.095238095238095,85.71428571428571,57.14285714285714,28.57142857142857,14.285714285714285,55.35714285714286,50,85.71428571428571,78.57142857142857,85.71428571428571,21.428571428571427,21.428571428571427,71.42857142857143,92.85714285714286,21.428571428571427,78.57142857142857,64.28571428571429,26.53061224489796,22.857142857142858,19.897959183673468,19.897959183673468,20.30075187969925,20.67669172932331,B
Leopard_refuse,Leopard refuse,Carnivore intervention,100,100,23.214285714285715,20,25.390625,50,0,0,28.645833333333332,50,93.75,68.75,68.75,18.75,25,62.5,93.75,0,93.75,68.75,31.25,25,26.339285714285715,26.339285714285715,25.986842105263158,25.986842105263158,B
Misgrot_Cave,Natural Baboon accumulation,Non-human/ non-carnivore intervention,100,57.14285714285714,38.775510204081634,27.42857142857143,22.321428571428573,28.57142857142857,14.285714285714285,21.428571428571427,24.404761904761905,71.42857142857143,71.42857142857143,42.857142857142854,57.14285714285714,19.047619047619047,21.428571428571427,42.857142857142854,71.42857142857143,14.285714285714285,35.714285714285715,14.285714285714285,14.285714285714285,21.428571428571427,19.132653061224488,19.132653061224488,19.736842105263158,19.736842105263158,D
Sima_de_los_Huesos,Possible hominin deliberate disposal,Burial,86.66666666666667,100,40,25.55555555555556,25.33333333333333,33.33333333333333,26.666666666666668,30,16.666666666666664,46.666666666666664,40,46.666666666666664,43.333333333333336,39.166666666666664,24.000000000000004,60,30,36.666666666666664,33.33333333333333,30,49.523809523809526,22,50,36.42857142857142,43.15789473684211,32.63157894736842,D
Dinaledi,Possible hominin deliberate disposal,Burial,85.71428571428571,100,14.285714285714285,15.476190476190474,8.571428571428571,14.285714285714285,14.285714285714285,35.714285714285715,16.666666666666668,42.857142857142854,57.14285714285714,42.857142857142854,35.714285714285715,15.178571428571427,32.857142857142854,64.28571428571429,100,28.57142857142857,64.28571428571429,57.14285714285714,34.69387755102041,30,38.775510204081634,16.3265306122449,34.96240601503759,24.81203007518797,D
